#,Company Name,Website,LinkedIn Profile,JS Technologies Used
1,Adplay Technologies (VU Mobile),http://vumobile.biz/,,"JavaScript, React"
2,Adventure Dhaka Limited,https://adventurekk.com/company/about/,,"Javascript, React, Nextjs"
5,AppsCode Ltd.,https://www.appscode.com/,https://www.linkedin.com/company/appscode/,Vue.js
6,Appyfilab,https://www.appifylab.com/,,"ReactJS, VueJS, Nuxt, NodeJS"
8,Astha IT,https://www.asthait.com/,https://www.linkedin.com/company/asthait/,"JavaScript, React, Vue.js, Angular"
9,ATI Limited,https://atilimited.net/,https://www.linkedin.com/company/atilimited/,"JavaScript, React, Vue.js"
10,Augmedix Inc.,https://www.augmedix.com/,,"JavaScript, AngularJS, NodeJS"
13,Bangladesh Software Solution,https://bssoln.com/,,VueJS
14,Bit Mascot (Pvt.) Ltd.,https://www.bitmascot.com/,,"JavaScript, jQuery"
15,Bondstein Technologies Limited,https://bondstein.com/,,"JavaScript, Node, React, Angular"
16,Braincraft Limited,https://www.braincraftapps.com,https://www.linkedin.com/company/bracits/,"Javascript, AngularJS, NodeJS"
17,Brain Station 23 PLC,http://www.brainstation-23.com/,https://www.linkedin.com/company/brain-station-23-plc/,"React, React-Native"
19,Circle Fintech,https://www.circlefintech.com/,,"React, Javascript, Node"
20,Code Prophet,https://codeprophet.tech/,https://www.linkedin.com/company/code-prophet,"JavaScript, Node.js, React"
21,CodersTrust,https://coderstrust.global/,,Javascript/Typescript
22,Craftsmen (EU),https://www.craftsmenltd.com/,https://www.linkedin.com/organization-guest/company/craftsmenltd,"JavaScript/TypeScript, Node.js, React/Vue.js, React Native"
23,Cefalo Bangladesh,https://cefalo.com/,,React
24,Chaldal Engineering,https://chaldal.tech/,,"TypeScript, JavaScript, React, React Native"
25,Chumbok IT,https://chumbok.com,https://www.linkedin.com/company/chumbok-it,AngularJS
26,COdesign,https://co.design/,,Nuxt
27,Codemen Solutions,http://www.codemen.com,,"JavaScript, TypeScript, React, Node.js"
28,DataSoft,http://datasoft-bd.com/,,Angular/Vue/JQuery
29,Data Grid Limited,https://datagridltd.com/,,Angular/Vue/JQuery
30,Danpite.Tech,https://danpite.tech/,,ReactJS
31,Dhrubok Infotech Services Ltd.,https://dhrubokinfotech.com/,https://www.linkedin.com/company/dhrubokinfotech/,"Javascript, React, NextJs"
32,Divine IT Limited,https://www.divineit.net/,,"React, Node, Vue, Angular"
33,Dingi Technologies,https://www.dingi.tech/,,"JavaScript, React, Node"
34,Dizi Nova Limited,http://www.dizinova.com/,,"JavaScript, React"
35,Dynamic Solution Innovators Ltd. (DSi),http://www.dsinnovators.com,https://www.linkedin.com/company/dsinnovators/,"Nodejs, ReactJs, NextJs, AngularJS"
36,Dohatec New Media,http://www.dohatec.com/,,AngularJS
37,Embedded Logic Operations (ELO),https://elobyte.com/,,"Node, React, Angular, Nextjs, Nestjs"
38,Evaly Limited,https://evaly.com.bd/career/,,"NodeJS, ExpressJS"
39,Exabyting Technologies,http://exabyting.com/,,"JavaScript, NodeJS, ExpressJS"
40,Fiftytwo,https://www.fiftytwo.com,,Angular
41,Flyte Solutions,https://flytesolutions.com,,"JavaScript, Node, React, React Native"
42,Fringecore,https://fringecore.sh/,,"JavaScript, React, React Native, Node"
43,Furqan Software,https://furqansoftware.com/,,"JavaScript, React"
44,GeekSSort,https://geekssort.com/,,"ReactJs, VueJS, NextJS"
45,Giga Tech Limited,https://gigatechltd.com/,,JavaScript
46,Golden Harvest InfoTech Ltd (GHIT),http://ghitbd.com/,,"Angular JS, React JS"
47,Grit Technologies Limited,https://www.grit0.com/,,"Javascript, React Native"
48,Hogarth Dhaka,https://www.hogarth.com/careers,,"JavaScript, React, Node"
49,HypeScout,https://www.hypescout.co/,,"JavaScript, React, Node"
50,IBOS Limited,https://www.ibos.io,,"JavaScript, React"
51,IdeaScale Bangladesh,https://ideascale.com/,,"jQuery, ReactJS"
52,InfancyIT,http://www.infancyit.com,,"JavaScript, Node.js, Vue.js, React.js, React Native"
53,Inflack Limited,http://inflack.com/,,JavaScript
54,Inovace Technologies,https://inovacetech.com/,,"JavaScript, Angular, Vue"
55,Instalogic,https://instalogic.com.bd/,,"JavaScript, React, Angular, Vue"
56,"IQVIA, Dhaka",https://www.iqvia.com/,,"Javascript, Angular"
57,IXORA Solution,https://ixorasolution.com,,"React, Vue, Typescript, NodeJS"
58,Joomshaper,https://www.joomshaper.com,,"JavaScript, React"
59,JoulesLabs,https://jouleslabs.com/,,"JavaScript, React"
60,Kaz Software,http://kaz.com.bd/,,"AngularJS, React"
61,Kite Games Studio,https://www.kitegamesstudio.com,https://www.linkedin.com/company/kite-games-studio/mycompany,React
62,LIILab,http://liilab.com,,React
63,Mazegeek Technologies BD Ltd.,https://www.mazegeek.com/,,"Javascript, Node.js, Vue.js, Angular, React"
64,Medina Tech Ltd.,https://www.medinatech.co/,https://www.linkedin.com/company/medina-tech/,"Node.js, React, Next.js, Vue, React Native"
65,Metatude Asia Ltd,https://www.fellowdigitals.com/metatude,https://www.linkedin.com/company/metatude-asia-ltd/,"JavaScript, Angular"
66,Mevrik Ltd.,https://www.mevrik.com/,https://www.linkedin.com/company/mevrik/,"JavaScript, React"
67,Misfit Technologies,https://misfit.tech/,,"JavaScript, React"
68,MonstarLab Bangladesh,https://monstar-lab.com/bd/,,"NextJS, NestJS"
69,MononSoft Ltd.,https://mononsoft.org/,,VueJS
70,Namespace IT,https://www.namespaceit.com/,,"React, Next.js"
71,Netizen IT Limited,https://www.netizenbd.com/,,"ReactJS, Angular"
72,Newroz Technologies Limited,https://www.newroztech.com/,,React
73,New Technology Systems Limited,https://ntsctgbd.com,,"JavaScript, React JS"
74,Nextech Limited,https://nextech.com.bd,,Vue.js
75,NetCoden Inc,https://netcoden.com/,,"Node.js, Vue.js, React"
76,Nogor Solutions Limited,https://www.nogorsolutions.com,,"Javascript (jQuery, Vue, VueX)"
77,Nybbles System Limited (NybSys),https://www.nybsys.com,,Angular JS
78,Optimizely (formerly Newscred),https://www.optimizely.com/,https://www.linkedin.com/company/optimizely/,"NodeJS, Angular2"
79,Orange Toolz,https://orangetoolz.com/,,"AngularJS, React Native, NodeJS"
80,Otto International Ltd.,https://www.ottoint.com/,,"React, Gatsby, Node.js, Express.js"
81,Paperfly Ltd,https://www.paperfly.com.bd/,,"React, Vue"
82,Penta Global Ltd,https://www.pentabd.com/,,"React, Node"
83,PixelNet Technologies Ltd,http://www.pixelnettech.com/,,"JavaScript, Express, ReactJS, NodeJS"
